speed_kmh,cd,cl,drag_N,lift_N,downforce_N,ld_ratio,power_W
40,3.1462,0.2039,1.906,0.124,-0.124,-0.065,21.17
60,3.1462,0.2039,4.288,0.278,-0.278,-0.065,71.46
80,3.1462,0.2039,7.622,0.494,-0.494,-0.065,169.39
100,3.1462,0.2039,11.91,0.772,-0.772,-0.065,330.83
120,3.1462,0.2039,17.15,1.112,-1.112,-0.065,571.68
150,3.1462,0.2039,26.797,1.737,-1.737,-0.065,1116.55
180,3.1462,0.2039,38.588,2.501,-2.501,-0.065,1929.4
200,3.1462,0.2039,47.64,3.088,-3.088,-0.065,2646.64
